place_name,state,population,rank
"Butzbach, Friedrich-Ludwig-Weidig-Stadt",Hessen,27046,470
"Pfaffenhofen a.d.Ilm, St",Bayern,26996,471
Rheinbach,Nordrhein-Westfalen,26918,472
Hamminkeln,Nordrhein-Westfalen,26873,473
Leimen,Baden-Württemberg,26873,474
Hohen Neuendorf,Brandenburg,26857,475
Lübbecke,Nordrhein-Westfalen,26815,476
Mühlacker,Baden-Württemberg,26787,477
Achern,Baden-Württemberg,26733,478
Hennigsdorf,Brandenburg,26677,479
Overath,Nordrhein-Westfalen,26663,480
"Kulmbach, GKSt",Bayern,26625,481
Weiterstadt,Hessen,26583,482
Unterhaching,Bayern,26507,483
Neckarsulm,Baden-Württemberg,26431,484
Schloß Holte-Stukenbrock,Nordrhein-Westfalen,26297,485
Heiligenhaus,Nordrhein-Westfalen,26252,486
"Zirndorf, St",Bayern,26243,487
Remseck am Neckar,Baden-Württemberg,26188,488
"Lauf a.d.Pegnitz, St",Bayern,26106,489
Wetter (Ruhr),Nordrhein-Westfalen,26090,490
"Geretsried, St",Bayern,25997,491
Selm,Nordrhein-Westfalen,25969,492
Delitzsch,Sachsen,25895,493
Nordenham,Niedersachsen,25889,494
"Friedrichsdorf, Philipp-Reis-Stadt",Hessen,25871,495
"Lindau (Bodensee), GKSt",Bayern,25845,496
Verl,Nordrhein-Westfalen,25762,497
"Waldkraiburg, St",Bayern,25737,498
"Idstein, Hochschulstadt",Hessen,25736,499
Öhringen,Baden-Württemberg,25673,500
Horb am Neckar,Baden-Württemberg,25651,501
Aschersleben,Sachsen-Anhalt,25647,502
Rinteln,Niedersachsen,25602,503
Espelkamp,Nordrhein-Westfalen,25576,504
"Harsewinkel, Die Mähdrescherstadt",Nordrhein-Westfalen,25523,505
"Roth, St",Bayern,25458,506
"St. Wendel, Kreisstadt",Saarland,25441,507
Salzkotten,Nordrhein-Westfalen,25429,508
Brilon,Nordrhein-Westfalen,25424,509
Pfungstadt,Hessen,25415,510
Sangerhausen,Sachsen-Anhalt,25392,511
Groß-Gerau,Hessen,25388,512
Bingen am Rhein,Rheinland-Pfalz,25384,513
Schleswig,Schleswig-Holstein,25352,514
Petershagen,Nordrhein-Westfalen,25340,515
Markkleeberg,Sachsen,25331,516
