place_name,state,population,rank
Hauenstein,Rheinland-Pfalz,3541,3720
Seifhennersdorf,Sachsen,3536,3721
"Hofkirchen, M",Bayern,3534,3722
Carlsberg,Rheinland-Pfalz,3533,3723
Ronneburg,Hessen,3532,3724
Laberweinting,Bayern,3531,3725
Mundelsheim,Baden-Württemberg,3531,3726
Schiltach,Baden-Württemberg,3517,3727
Kettig,Rheinland-Pfalz,3516,3728
Thallwitz,Sachsen,3516,3729
Heideblick,Brandenburg,3514,3730
Stromberg,Rheinland-Pfalz,3514,3731
"Biberbach, M",Bayern,3513,3732
"Burgbernheim, St",Bayern,3512,3733
Rudelzhausen,Bayern,3508,3734
"Rohr i.NB, M",Bayern,3507,3735
Jemgum,Niedersachsen,3506,3736
Unterneukirchen,Bayern,3506,3737
Lemberg,Rheinland-Pfalz,3496,3738
"Floß, M",Bayern,3494,3739
Lalendorf,Mecklenburg-Vorpommern,3493,3740
Meeder,Bayern,3493,3741
Fürstenstein,Bayern,3492,3742
Mittelherwigsdorf,Sachsen,3491,3743
Schwindegg,Bayern,3490,3744
Straßkirchen,Bayern,3489,3745
Sankt Michaelisdonn,Schleswig-Holstein,3487,3746
"Heimenkirch, M",Bayern,3484,3747
Ettringen,Bayern,3483,3748
Ölbronn-Dürrn,Baden-Württemberg,3483,3749
Hirschhorn (Neckar),Hessen,3482,3750
Sasbach am Kaiserstuhl,Baden-Württemberg,3481,3751
Hoisdorf,Schleswig-Holstein,3479,3752
Malsch,Baden-Württemberg,3478,3753
Oberrot,Baden-Württemberg,3476,3754
Belgershain,Sachsen,3470,3755
Neustadt (Dosse),Brandenburg,3469,3756
Wartenberg,Hessen,3469,3757
Malterdingen,Baden-Württemberg,3467,3758
Löwenstein,Baden-Württemberg,3460,3759
Lucka,Thüringen,3457,3760
Steinach,Thüringen,3456,3761
Wildenfels,Sachsen,3452,3762
Beindersheim,Rheinland-Pfalz,3451,3763
"Goldkronach, St",Bayern,3451,3764
Lauben,Bayern,3448,3765
Egenhofen,Bayern,3443,3766
Redwitz a.d.Rodach,Bayern,3442,3767
Pettendorf,Bayern,3438,3768
Berge,Niedersachsen,3436,3769
Grafenrheinfeld,Bayern,3435,3770
Sankt Katharinen (Landkreis Neuwied),Rheinland-Pfalz,3434,3771
Ulmen,Rheinland-Pfalz,3432,3772
Bösingen,Baden-Württemberg,3428,3773
Wasserlosen,Bayern,3425,3774
Wielenbach,Bayern,3425,3775
Essenheim,Rheinland-Pfalz,3424,3776
Meckenheim,Rheinland-Pfalz,3424,3777
Kreuth,Bayern,3421,3778
Dassendorf,Schleswig-Holstein,3420,3779
"Luhe-Wildenau, M",Bayern,3419,3780
Neuhaus a.Inn,Bayern,3419,3781
Moos,Baden-Württemberg,3417,3782
Owen,Baden-Württemberg,3417,3783
Spreenhagen,Brandenburg,3417,3784
Brombachtal,Hessen,3416,3785
Gößnitz,Thüringen,3413,3786
Bornhöved,Schleswig-Holstein,3412,3787
Lemförde,Niedersachsen,3412,3788
Angelburg,Hessen,3410,3789
Jossgrund,Hessen,3407,3790
Klein Nordende,Schleswig-Holstein,3407,3791
Bissingen an der Teck,Baden-Württemberg,3406,3792
Joachimsthal,Brandenburg,3402,3793
Schenkendöbern/Derbno,Brandenburg,3401,3794
Bad Klosterlausnitz,Thüringen,3399,3795
"Falkenstein, M",Bayern,3398,3796
Lustadt,Rheinland-Pfalz,3396,3797
Eisingen,Bayern,3395,3798
Münstermaifeld,Rheinland-Pfalz,3394,3799
Langenbernsdorf,Sachsen,3392,3800
Mamming,Bayern,3391,3801
Steinach,Bayern,3390,3802
Wilhelmsthal,Bayern,3390,3803
Hötensleben,Sachsen-Anhalt,3388,3804
Breuna,Hessen,3386,3805
Herdwangen-Schönach,Baden-Württemberg,3385,3806
Valley,Bayern,3385,3807
Kölln-Reisiek,Schleswig-Holstein,3382,3808
Eschershausen,Niedersachsen,3378,3809
Villingendorf,Baden-Württemberg,3377,3810
Baierbrunn,Bayern,3376,3811
Kranichfeld,Thüringen,3376,3812
Bad Karlshafen,Hessen,3373,3813
Bosau,Schleswig-Holstein,3373,3814
Urmitz,Rheinland-Pfalz,3373,3815
"Buchbach, M",Bayern,3371,3816
Au am Rhein,Baden-Württemberg,3368,3817
Ohlsbach,Baden-Württemberg,3368,3818
Wesselburen,Schleswig-Holstein,3368,3819
"Wurmannsquick, M",Bayern,3364,3820
Langenhorn,Schleswig-Holstein,3363,3821
Röttenbach,Bayern,3363,3822
Hoppstädten-Weiersbach,Rheinland-Pfalz,3362,3823
Illerrieden,Baden-Württemberg,3361,3824
Erolzheim,Baden-Württemberg,3360,3825
Poppenricht,Bayern,3360,3826
Königswartha / Rakecy,Sachsen,3359,3827
"Wallerstein, M",Bayern,3359,3828
Halblech,Bayern,3357,3829
Rainau,Baden-Württemberg,3354,3830
Volkertshausen,Baden-Württemberg,3354,3831
"Randersacker, M",Bayern,3353,3832
Westhofen,Rheinland-Pfalz,3348,3833
Bad Schandau,Sachsen,3346,3834
Kötz,Bayern,3346,3835
Kammeltal,Bayern,3345,3836
Kirchdorf a.d.Amper,Bayern,3344,3837
"Ostheim v.d.Rhön, St",Bayern,3344,3838
Gröningen,Sachsen-Anhalt,3343,3839
Hilgertshausen-Tandern,Bayern,3342,3840
Hohenlinden,Bayern,3339,3841
Kirchanschöring,Bayern,3338,3842
Sülfeld,Schleswig-Holstein,3338,3843
Mildenau,Sachsen,3337,3844
Hohndorf,Sachsen,3335,3845
Spraitbach,Baden-Württemberg,3335,3846
Gaienhofen,Baden-Württemberg,3334,3847
Offenberg,Bayern,3334,3848
Wilhelmsfeld,Baden-Württemberg,3332,3849
Bischofsmais,Bayern,3331,3850
Colbitz,Sachsen-Anhalt,3331,3851
Leutersdorf,Sachsen,3330,3852
Jandelsbrunn,Bayern,3329,3853
Michelbach an der Bilz,Baden-Württemberg,3325,3854
Auma-Weidatal,Thüringen,3324,3855
Krakow am See,Mecklenburg-Vorpommern,3324,3856
Ohlstadt,Bayern,3323,3857
Parkstetten,Bayern,3323,3858
Schwarzatal,Thüringen,3319,3859
Lamstedt,Niedersachsen,3317,3860
Wellendingen,Baden-Württemberg,3317,3861
"Merenberg, Marktflecken",Hessen,3316,3862
Walheim,Baden-Württemberg,3316,3863
Polling,Bayern,3315,3864
"Eschlkam, M",Bayern,3314,3865
Rodenbach,Rheinland-Pfalz,3311,3866
Jevenstedt,Schleswig-Holstein,3309,3867
Mühlberg/Elbe,Brandenburg,3309,3868
Großenwiehe,Schleswig-Holstein,3307,3869
Otterstadt,Rheinland-Pfalz,3307,3870
Wingst,Niedersachsen,3307,3871
Oberriexingen,Baden-Württemberg,3306,3872
Tanna,Thüringen,3304,3873
Rossau,Sachsen,3302,3874
Bempflingen,Baden-Württemberg,3301,3875
"Steinwiesen, M",Bayern,3297,3876
Eiselfing,Bayern,3295,3877
Altenstadt,Bayern,3294,3878
Tuningen,Baden-Württemberg,3292,3879
Schernfeld,Bayern,3291,3880
Oberschneiding,Bayern,3290,3881
Marzling,Bayern,3287,3882
Lütjensee,Schleswig-Holstein,3285,3883
Plate,Mecklenburg-Vorpommern,3283,3884
"Wolframs-Eschenbach, St",Bayern,3282,3885
Staig,Baden-Württemberg,3281,3886
Löcknitz,Mecklenburg-Vorpommern,3280,3887
Melbeck,Niedersachsen,3280,3888
Holm,Schleswig-Holstein,3279,3889
Scharnebeck,Niedersachsen,3279,3890
Brietlingen,Niedersachsen,3278,3891
Leinach,Bayern,3277,3892
Berkheim,Baden-Württemberg,3275,3893
Deckenpfronn,Baden-Württemberg,3274,3894
"Kirchenthumbach, M",Bayern,3274,3895
Saalburg-Ebersdorf,Thüringen,3271,3896
Neuler,Baden-Württemberg,3270,3897
"Tüßling, M",Bayern,3270,3898
Elsterheide / Halštrowska Hola,Sachsen,3269,3899
Hohenau,Bayern,3269,3900
Hollern-Twielenfleth,Niedersachsen,3269,3901
Schwegenheim,Rheinland-Pfalz,3267,3902
Waldburg,Baden-Württemberg,3267,3903
Surberg,Bayern,3265,3904
Wurmberg,Baden-Württemberg,3264,3905
Merching,Bayern,3263,3906
Schwangau,Bayern,3263,3907
Burgbrohl,Rheinland-Pfalz,3262,3908
Elchesheim-Illingen,Baden-Württemberg,3262,3909
Heldburg,Thüringen,3261,3910
Unterbreizbach,Thüringen,3261,3911
"Neuburg a.d.Kammel, M",Bayern,3260,3912
Künzing,Bayern,3258,3913
Straßlach-Dingharting,Bayern,3258,3914
Haina (Kloster),Hessen,3256,3915
Kaisersesch,Rheinland-Pfalz,3256,3916
"Rötz, St",Bayern,3256,3917
Geyer,Sachsen,3255,3918
Warin,Mecklenburg-Vorpommern,3255,3919
Aumühle,Schleswig-Holstein,3254,3920
Oberaula,Hessen,3251,3921
Himmelkron,Bayern,3249,3922
Lorup,Niedersachsen,3247,3923
Aschau a.Inn,Bayern,3245,3924
Münchhausen,Hessen,3243,3925
"Legau, M",Bayern,3242,3926
"Bad Steben, M",Bayern,3240,3927
Hunderdorf,Bayern,3238,3928
Goldberg,Mecklenburg-Vorpommern,3236,3929
Bodnegg,Baden-Württemberg,3235,3930
Münchsmünster,Bayern,3235,3931
Ried,Bayern,3234,3932
Ursberg,Bayern,3233,3933
Oberhausen,Bayern,3231,3934
Harthausen,Rheinland-Pfalz,3230,3935
Mauerstetten,Bayern,3229,3936
Simmelsdorf,Bayern,3229,3937
Gosen-Neu Zittau,Brandenburg,3226,3938
Irschenberg,Bayern,3226,3939
Glottertal,Baden-Württemberg,3225,3940
Bad Teinach-Zavelstein,Baden-Württemberg,3220,3941
Höhn,Rheinland-Pfalz,3218,3942
Obermichelbach,Bayern,3217,3943
Wörth a.d.Isar,Bayern,3214,3944
Eberstadt,Baden-Württemberg,3209,3945
Hillesheim,Rheinland-Pfalz,3207,3946
Gaißach,Bayern,3203,3947
Steinmauern,Baden-Württemberg,3201,3948
Ascheberg (Holstein),Schleswig-Holstein,3196,3949
Bischoffen,Hessen,3196,3950
Kelbra (Kyffhäuser),Sachsen-Anhalt,3196,3951
Vörstetten,Baden-Württemberg,3196,3952
Stephansposching,Bayern,3189,3953
Glattbach,Bayern,3186,3954
Calvörde,Sachsen-Anhalt,3185,3955
Sohren,Rheinland-Pfalz,3184,3956
Dorf Mecklenburg,Mecklenburg-Vorpommern,3183,3957
Gumtow,Brandenburg,3183,3958
Wangen,Baden-Württemberg,3183,3959
Wehringen,Bayern,3183,3960
Bergatreute,Baden-Württemberg,3181,3961
Havelsee,Brandenburg,3181,3962
Wiesenbach,Baden-Württemberg,3181,3963
"Ziemetshausen, M",Bayern,3181,3964
Werbach,Baden-Württemberg,3180,3965
Großrückerswalde,Sachsen,3178,3966
Leubsdorf,Sachsen,3178,3967
Urbar,Rheinland-Pfalz,3177,3968
Diera-Zehren,Sachsen,3174,3969
Alteglofsheim,Bayern,3171,3970
Hammah,Niedersachsen,3171,3971
Krauschwitz i.d. O.L. / Krušwica,Sachsen,3171,3972
Schuttertal,Baden-Württemberg,3170,3973
Flörsheim-Dalsheim,Rheinland-Pfalz,3167,3974
Weilheim,Baden-Württemberg,3167,3975
Buckenhof,Bayern,3161,3976
Konradsreuth,Bayern,3161,3977
Ingoldingen,Baden-Württemberg,3159,3978
"Plößberg, M",Bayern,3159,3979
Fridingen an der Donau,Baden-Württemberg,3157,3980
Oberschöna,Sachsen,3157,3981
Fischen i.Allgäu,Bayern,3156,3982
Gottenheim,Baden-Württemberg,3156,3983
Eicklingen,Niedersachsen,3151,3984
Seeshaupt,Bayern,3151,3985
Hohnstein,Sachsen,3150,3986
Plattenburg,Brandenburg,3149,3987
Königsdorf,Bayern,3148,3988
Birkenheide,Rheinland-Pfalz,3146,3989
Buchenbach,Baden-Württemberg,3144,3990
Jetzendorf,Bayern,3144,3991
Breitenworbis,Thüringen,3140,3992
Lychen,Brandenburg,3139,3993
Hülben,Baden-Württemberg,3135,3994
Lauscha,Thüringen,3133,3995
Neuweiler,Baden-Württemberg,3133,3996
Oberau,Bayern,3132,3997
Unterpleichfeld,Bayern,3132,3998
Weidhausen b.Coburg,Bayern,3128,3999
Seukendorf,Bayern,3127,4000
Rickling,Schleswig-Holstein,3126,4001
Mauern,Bayern,3125,4002
"Uehlfeld, M",Bayern,3125,4003
Hirrlingen,Baden-Württemberg,3123,4004
Babensham,Bayern,3122,4005
"Kirchenlamitz, St",Bayern,3122,4006
"Erkheim, M",Bayern,3121,4007
Sonnewalde,Brandenburg,3120,4008
Körle,Hessen,3119,4009
Pfatter,Bayern,3119,4010
Cleebronn,Baden-Württemberg,3118,4011
Vordorf,Niedersachsen,3118,4012
Bernstadt a. d. Eigen,Sachsen,3117,4013
Gimbsheim,Rheinland-Pfalz,3113,4014
Margetshöchheim,Bayern,3113,4015
Frickingen,Baden-Württemberg,3111,4016
Rinchnach,Bayern,3111,4017
Schalkau,Thüringen,3111,4018
Morschen,Hessen,3109,4019
Buxheim,Bayern,3108,4020
Egeln,Sachsen-Anhalt,3108,4021
Epfendorf,Baden-Württemberg,3106,4022
Mommenheim,Rheinland-Pfalz,3106,4023
Aurachtal,Bayern,3105,4024
Grünkraut,Baden-Württemberg,3105,4025
Aurach,Bayern,3104,4026
Oldendorf,Niedersachsen,3103,4027
Schmidgaden,Bayern,3103,4028
Thermalbad Wiesenbad,Sachsen,3103,4029
Warmsen,Niedersachsen,3103,4030
Brome,Niedersachsen,3102,4031
"Lehrberg, M",Bayern,3102,4032
Pommersfelden,Bayern,3102,4033
Welzow/Wjelcej,Brandenburg,3102,4034
Bürgel,Thüringen,3099,4035
Hodenhagen,Niedersachsen,3099,4036
"Merkendorf, St",Bayern,3099,4037
Aystetten,Bayern,3095,4038
Riede,Niedersachsen,3095,4039
Priestewitz,Sachsen,3094,4040
Erlau,Sachsen,3093,4041
Neusalza-Spremberg,Sachsen,3092,4042
"Eibelstadt, St",Bayern,3091,4043
Remptendorf,Thüringen,3090,4044
Heßheim,Rheinland-Pfalz,3089,4045
Klein Offenseth-Sparrieshoop,Schleswig-Holstein,3088,4046
"Maroldsweisach, M",Bayern,3088,4047
Radibor / Radwor,Sachsen,3084,4048
Selmsdorf,Mecklenburg-Vorpommern,3083,4049
Fintel,Niedersachsen,3082,4050
Ottenhöfen im Schwarzwald,Baden-Württemberg,3082,4051
Zell unter Aichelberg,Baden-Württemberg,3078,4052
St. Egidien,Sachsen,3077,4053
"Schönwald, St",Bayern,3076,4054
Untermünkheim,Baden-Württemberg,3076,4055
Bühlertann,Baden-Württemberg,3075,4056
Westerheim,Baden-Württemberg,3074,4057
Dahlenburg,Niedersachsen,3073,4058
Kirtorf,Hessen,3072,4059
Vogtareuth,Bayern,3072,4060
Erligheim,Baden-Württemberg,3071,4061
Hauneck,Hessen,3070,4062
Uffing a.Staffelsee,Bayern,3069,4063
Großenaspe,Schleswig-Holstein,3068,4064
Hochdorf-Assenheim,Rheinland-Pfalz,3068,4065
"Ludwigsstadt, St",Bayern,3068,4066
Höpfingen,Baden-Württemberg,3067,4067
Döbern/Derbno,Brandenburg,3066,4068
Ruderting,Bayern,3063,4069
Seeg,Bayern,3061,4070
Sand a.Main,Bayern,3060,4071
Aresing,Bayern,3059,4072
Burgberg i.Allgäu,Bayern,3057,4073
Eitting,Bayern,3057,4074
Hettenleidelheim,Rheinland-Pfalz,3056,4075
Pollenfeld,Bayern,3056,4076
"Tussenhausen, M",Bayern,3056,4077
Fluorn-Winzeln,Baden-Württemberg,3052,4078
Kammerstein,Bayern,3050,4079
Lebus,Brandenburg,3049,4080
Föhren,Rheinland-Pfalz,3048,4081
Steinbach a.Wald,Bayern,3047,4082
Werther,Thüringen,3047,4083
Gailingen am Hochrhein,Baden-Württemberg,3044,4084
Königheim,Baden-Württemberg,3043,4085
Langensendelbach,Bayern,3043,4086
Pampow,Mecklenburg-Vorpommern,3040,4087
Hanerau-Hademarschen,Schleswig-Holstein,3037,4088
Jesewitz,Sachsen,3036,4089
Klütz,Mecklenburg-Vorpommern,3036,4090
Gützkow,Mecklenburg-Vorpommern,3034,4091
Hohenroda,Hessen,3033,4092
Grünhainichen,Sachsen,3032,4093
"Prichsenstadt, St",Bayern,3032,4094
Schorndorf,Bayern,3031,4095
Marquartstein,Bayern,3030,4096
Aitrach,Baden-Württemberg,3028,4097
Weißenberg / Wóspork,Sachsen,3024,4098
Niederer Fläming,Brandenburg,3021,4099
Hepberg,Bayern,3020,4100
Glauburg,Hessen,3018,4101
Hahnstätten,Rheinland-Pfalz,3018,4102
Herschbach,Rheinland-Pfalz,3018,4103
Neuental,Hessen,3018,4104
Hitzhofen,Bayern,3017,4105
Adelschlag,Bayern,3016,4106
Oberreichenbach,Baden-Württemberg,3015,4107
Bayerisch Gmain,Bayern,3014,4108
Eußenheim,Bayern,3014,4109
Schafflund,Schleswig-Holstein,3014,4110
Stützengrün,Sachsen,3014,4111
Klosterlechfeld,Bayern,3008,4112
"Bärnau, St",Bayern,3007,4113
"Aidenbach, M",Bayern,3005,4114
Bischweier,Baden-Württemberg,3003,4115
Braubach,Rheinland-Pfalz,3002,4116
Rengsdorf,Rheinland-Pfalz,3001,4117
"Teisnach, M",Bayern,3000,4118
Eitensheim,Bayern,2999,4119
Ravenstein,Baden-Württemberg,2999,4120
Drebber,Niedersachsen,2998,4121
Neukirchen vorm Wald,Bayern,2996,4122
Kalchreuth,Bayern,2994,4123
Lohmen,Sachsen,2994,4124
Frasdorf,Bayern,2993,4125
"Marktleugast, M",Bayern,2993,4126
Wesenberg,Mecklenburg-Vorpommern,2992,4127
Wald,Bayern,2991,4128
Münster-Sarmsheim,Rheinland-Pfalz,2989,4129
"Waischenfeld, St",Bayern,2989,4130
Binzen,Baden-Württemberg,2988,4131
Reute,Baden-Württemberg,2986,4132
Waldenburg,Baden-Württemberg,2986,4133
Bassenheim,Rheinland-Pfalz,2985,4134
Dietersburg,Bayern,2985,4135
Bargfeld-Stegen,Schleswig-Holstein,2984,4136
"Stadtsteinach, St",Bayern,2983,4137
Dirmstein,Rheinland-Pfalz,2982,4138
Kobern-Gondorf,Rheinland-Pfalz,2982,4139
Neuenstein,Hessen,2981,4140
Wattenbek,Schleswig-Holstein,2980,4141
Weihenzell,Bayern,2980,4142
Denkingen,Baden-Württemberg,2979,4143
Steinbergkirche,Schleswig-Holstein,2978,4144
Heist,Schleswig-Holstein,2973,4145
Schmölln-Putzkau,Sachsen,2972,4146
Kleines Wiesental,Baden-Württemberg,2970,4147
Rain,Bayern,2969,4148
Freiensteinau,Hessen,2967,4149
Stauchitz,Sachsen,2966,4150
Vollersode,Niedersachsen,2964,4151
Bodolz,Bayern,2962,4152
Rietheim-Weilheim,Baden-Württemberg,2962,4153
Inzigkofen,Baden-Württemberg,2958,4154
Memmingerberg,Bayern,2957,4155
Neuenmarkt,Bayern,2957,4156
Siershahn,Rheinland-Pfalz,2956,4157
Horgau,Bayern,2953,4158
Steingaden,Bayern,2953,4159
Großharthau,Sachsen,2952,4160
Stimpfach,Baden-Württemberg,2952,4161
Rhens,Rheinland-Pfalz,2950,4162
Berglern,Bayern,2945,4163
Hargesheim,Rheinland-Pfalz,2945,4164
Boitzenburger Land,Brandenburg,2944,4165
Sankt Oswald-Riedlhütte,Bayern,2944,4166
Soyen,Bayern,2943,4167
"Schwarzach, M",Bayern,2940,4168
Oberwesel,Rheinland-Pfalz,2939,4169
Bippen,Niedersachsen,2938,4170
Schrecksbach,Hessen,2938,4171
Nebra (Unstrut),Sachsen-Anhalt,2937,4172
Friedland,Brandenburg,2936,4173
Simonswald,Baden-Württemberg,2936,4174
Adenau,Rheinland-Pfalz,2935,4175
Prutting,Bayern,2934,4176
Admannshagen-Bargeshagen,Mecklenburg-Vorpommern,2933,4177
Baddeckenstedt,Niedersachsen,2933,4178
Heroldstatt,Baden-Württemberg,2931,4179
Sigmarszell,Bayern,2931,4180
Niederwinkling,Bayern,2930,4181
Flintsbach a.Inn,Bayern,2929,4182
Briesen (Mark),Brandenburg,2928,4183
Nortrup,Niedersachsen,2927,4184
Hattenhofen,Baden-Württemberg,2925,4185
Schwarzach,Baden-Württemberg,2925,4186
Mönsheim,Baden-Württemberg,2924,4187
Kieselbronn,Baden-Württemberg,2923,4188
Lindow (Mark),Brandenburg,2921,4189
Roßbach,Bayern,2920,4190
Göda / Hodźij,Sachsen,2917,4191
Wankendorf,Schleswig-Holstein,2917,4192
Börger,Niedersachsen,2916,4193
Meißner,Hessen,2915,4194
Beetzendorf,Sachsen-Anhalt,2913,4195
Fränkisch-Crumbach,Hessen,2910,4196
Meisenheim,Rheinland-Pfalz,2910,4197
Bodenfelde,Niedersachsen,2909,4198
Waldbrunn,Bayern,2909,4199
Undenheim,Rheinland-Pfalz,2906,4200
Claußnitz,Sachsen,2905,4201
Selters (Westerwald),Rheinland-Pfalz,2902,4202
Schönbrunn,Baden-Württemberg,2901,4203
Euerbach,Bayern,2899,4204
Schönewalde,Brandenburg,2899,4205
Hoogstede,Niedersachsen,2898,4206
Kenn,Rheinland-Pfalz,2897,4207
Fichtenberg,Baden-Württemberg,2895,4208
Lambrechtshagen,Mecklenburg-Vorpommern,2894,4209
Rövershagen,Mecklenburg-Vorpommern,2894,4210
Börde-Hakel,Sachsen-Anhalt,2893,4211
Winden im Elztal,Baden-Württemberg,2893,4212
"Schopfloch, M",Bayern,2890,4213
Langenpreising,Bayern,2887,4214
Rödersheim-Gronau,Rheinland-Pfalz,2887,4215
Schwedeneck,Schleswig-Holstein,2887,4216
Huglfing,Bayern,2882,4217
Denklingen,Bayern,2881,4218
Hatzenbühl,Rheinland-Pfalz,2881,4219
Kirchweidach,Bayern,2881,4220
"Bad Weißenstadt, St",Bayern,2880,4221
Liebenau,Hessen,2880,4222
Neumark,Sachsen,2880,4223
Alveslohe,Schleswig-Holstein,2878,4224
"Dollnstein, M",Bayern,2878,4225
Betzigau,Bayern,2877,4226
"Wildflecken, M",Bayern,2876,4227
Wittendörp,Mecklenburg-Vorpommern,2876,4228
Bad Kohlgrub,Bayern,2875,4229
Aichstetten,Baden-Württemberg,2874,4230
Ettringen,Rheinland-Pfalz,2874,4231
Heidgraben,Schleswig-Holstein,2872,4232
Wischhafen,Niedersachsen,2869,4233
Hatzfeld (Eder),Hessen,2865,4234
Dömitz,Mecklenburg-Vorpommern,2864,4235
Wurzbach,Thüringen,2864,4236
Zemmer,Rheinland-Pfalz,2864,4237
"Perlesreut, M",Bayern,2863,4238
Lengerich,Niedersachsen,2862,4239
Hemmingstedt,Schleswig-Holstein,2860,4240
Pilsach,Bayern,2860,4241
Wusterwitz,Brandenburg,2860,4242
Ebringen,Baden-Württemberg,2859,4243
Gilserberg,Hessen,2859,4244
Sulzemoos,Bayern,2859,4245
Schöneck/Vogtl.,Sachsen,2857,4246
Blender,Niedersachsen,2850,4247
Nüsttal,Hessen,2850,4248
Sollstedt,Thüringen,2849,4249
Offenau,Baden-Württemberg,2848,4250
Simmozheim,Baden-Württemberg,2848,4251
Köfering,Bayern,2847,4252
Sankt Goar,Rheinland-Pfalz,2847,4253
Eggstätt,Bayern,2846,4254
Liebschützberg,Sachsen,2844,4255
Münchenbernsdorf,Thüringen,2842,4256
Asendorf,Niedersachsen,2840,4257
Martfeld,Niedersachsen,2838,4258
Heiligenberg,Baden-Württemberg,2836,4259
"Karlshagen, Ostseebad",Mecklenburg-Vorpommern,2832,4260
Neetze,Niedersachsen,2831,4261
Wimsheim,Baden-Württemberg,2831,4262
Ringgau,Hessen,2830,4263
"Elfershausen, M",Bayern,2827,4264
"Mantel, M",Bayern,2827,4265
Haundorf,Bayern,2825,4266
Trippstadt,Rheinland-Pfalz,2824,4267
Griesstätt,Bayern,2823,4268
"Zingst, Ostseeheilbad",Mecklenburg-Vorpommern,2823,4269
Heldenstein,Bayern,2821,4270
Zschepplin,Sachsen,2821,4271
"Marktleuthen, St",Bayern,2820,4272
Schenefeld,Schleswig-Holstein,2820,4273
Hohn,Schleswig-Holstein,2819,4274
Pastetten,Bayern,2818,4275
Garding,Schleswig-Holstein,2816,4276
Börßum,Niedersachsen,2814,4277
Obrigheim (Pfalz),Rheinland-Pfalz,2814,4278
"Marktl, M",Bayern,2812,4279
Beckdorf,Niedersachsen,2811,4280
"Kallmünz, M",Bayern,2810,4281
Elmenhorst,Schleswig-Holstein,2808,4282
Roxheim,Rheinland-Pfalz,2807,4283
Muldenhammer,Sachsen,2806,4284
Kastl,Bayern,2804,4285
Sternenfels,Baden-Württemberg,2802,4286
Samerberg,Bayern,2798,4287
Auggen,Baden-Württemberg,2797,4288
Dettingen an der Iller,Baden-Württemberg,2797,4289
"Mitwitz, M",Bayern,2797,4290
Jübek,Schleswig-Holstein,2796,4291
Haunetal,Hessen,2795,4292
Sulzburg,Baden-Württemberg,2794,4293
Groß Twülpstedt,Niedersachsen,2790,4294
Detern,Niedersachsen,2789,4295
Neuching,Bayern,2789,4296
Vilgertshofen,Bayern,2788,4297
Embsen,Niedersachsen,2787,4298
Jarmen,Mecklenburg-Vorpommern,2787,4299
"Unterthingau, M",Bayern,2786,4300
Haste,Niedersachsen,2785,4301
Käbschütztal,Sachsen,2783,4302
"Frankenau, Nationalparkstadt",Hessen,2782,4303
Herbsleben,Thüringen,2781,4304
Reinsberg,Sachsen,2777,4305
Landesbergen,Niedersachsen,2774,4306
Oberried,Baden-Württemberg,2773,4307
Schuby,Schleswig-Holstein,2773,4308
Hochstadt (Pfalz),Rheinland-Pfalz,2771,4309
"Schillingsfürst, St",Bayern,2770,4310
Tonna,Thüringen,2769,4311
Poppenhausen (Wasserkuppe),Hessen,2768,4312
Nordhastedt,Schleswig-Holstein,2767,4313
Mönchweiler,Baden-Württemberg,2766,4314
Auengrund,Thüringen,2765,4315
Kirchham,Bayern,2763,4316
Attenkirchen,Bayern,2760,4317
"Mitterfels, M",Bayern,2760,4318
Prackenbach,Bayern,2759,4319
Lehrensteinsfeld,Baden-Württemberg,2758,4320
Steinburg,Schleswig-Holstein,2758,4321
Rieseby,Schleswig-Holstein,2755,4322
Altenglan,Rheinland-Pfalz,2754,4323
"Inchenhofen, M",Bayern,2754,4324
Wald,Baden-Württemberg,2754,4325
Bretzenheim,Rheinland-Pfalz,2752,4326
Großerlach,Baden-Württemberg,2752,4327
Hirzenhain,Hessen,2750,4328
Schwalmtal,Hessen,2750,4329
"Wertach, M",Bayern,2749,4330
Egestorf,Niedersachsen,2748,4331
Rauhenebrach,Bayern,2744,4332
Rüdesheim,Rheinland-Pfalz,2744,4333
Hördt,Rheinland-Pfalz,2743,4334
Iffeldorf,Bayern,2743,4335
Lengdorf,Bayern,2742,4336
Salching,Bayern,2742,4337
Tellingstedt,Schleswig-Holstein,2742,4338
Münchweiler an der Rodalb,Rheinland-Pfalz,2739,4339
Sontheim,Bayern,2739,4340
Ockenheim,Rheinland-Pfalz,2736,4341
Weyhausen,Niedersachsen,2735,4342
Halfing,Bayern,2734,4343
Kollnburg,Bayern,2734,4344
Eschelbronn,Baden-Württemberg,2733,4345
Lechbruck am See,Bayern,2731,4346
Vellahn,Mecklenburg-Vorpommern,2731,4347
Durlangen,Baden-Württemberg,2730,4348
Großpostwitz/O.L. / Budestecy,Sachsen,2730,4349
Niederzissen,Rheinland-Pfalz,2729,4350
Vilsheim,Bayern,2729,4351
Ulrichstein,Hessen,2728,4352
St. Peter,Baden-Württemberg,2727,4353
Kutzenhausen,Bayern,2726,4354
Queidersbach,Rheinland-Pfalz,2726,4355
Neukirch,Baden-Württemberg,2725,4356
Obertaufkirchen,Bayern,2723,4357
Wanderup,Schleswig-Holstein,2722,4358
Mühlingen,Baden-Württemberg,2720,4359
Reischach,Bayern,2718,4360
Thaleischweiler-Fröschen,Rheinland-Pfalz,2718,4361
"Titting, M",Bayern,2718,4362
Haag a.d.Amper,Bayern,2716,4363
